prod;author;date;review_format;stars;comments
Sapiens: A Brief History of Humankind;richard j bohorfoush;December 17, 2020;Verified Purchase;1;"









  
  
    
  I read this book on the advice of a friend and I have to say it is without a doubt one of the worst ""scientific"" books I have ever read. Opinion disguised as fact. The author jumps to conclusions based on pure hypotheticals and unproven claims as if the reader should just accept them as they are presented. The worst part is that because this is written by a professor or someone with letter after their name, people will just assume what he writes is true or that he knows what he's talking about, which he doesn't. Do not waste your precious time on this earth reading this pos. Pick up a true classic instead and learn something visceral about mankind.

  
"
Sapiens: A Brief History of Humankind;Joel F Russell;June 25, 2019;Verified Purchase;1;"









  
  
    
  This is probably the worst book on human evolution that I have ever read. It is filled with disinformation, discredited theories and flights of imagination on the part of the author. I would not recommend this book to anyone.

  
"
Sapiens: A Brief History of Humankind;Devin Michaud;September 3, 2020;Verified Purchase;4;"









  
  
    
  An interesting read, however, large chunks of this book seem to be author opinion and/or political ideology integrated within scientific fact. Filled with interesting ideas, thoughts, and some scientifically based facts, there are significant chunks that are clearly interwoven with the authors personal feelings then passed off matter of factually as scientifically proven. I will say, objectively, i found the book to be an engaging read and detailed in content. I equally was disappointed in the continual passive integration of obvious opinion into virtually every section of text removing some legitimacy of an advertised non bias scientifically based book.

  
"
Sapiens: A Brief History of Humankind;Tom Pemberton;February 12, 2020;Verified Purchase;1;"









  
  
    
  Got this book on the recommendation of a friend. Very disappointed. The author needs to stick to writing history and avoid anything that requires scientific background or understanding. When he brought in subjects of biological nature, failed miserably. Shows more of his lack of understanding of Evolution, Sociobiology and Behavior than anything. More and more as I read the book I realized it was a promotion of current liberal thinking, rather than a well thought out, scientifically based work.

  
"
Sapiens: A Brief History of Humankind;Daniel Dwyer;March 28, 2017;Verified Purchase;4;"









  
  
    
  As an anthropological history, this book is easy to follow both for its simplicity of style and for its interesting take on man's development. I do have some reservations about his assertions about the origins of being, about the all exclusive role of evolution and the complete dismissal of any causal agent. Blind development is all that is necessary to explain everything. I would have spent some time on the spiritual history of man, a good chapter perhaps. His belief in another form of homo sapiens, perhaps a homo sapiens sapiens as an inevitability, to me is not all that convincing. Sticking chips in a brain is just that, another appliance to aid the essential man.It may be that he has saved more cogent arguments for his next book, Homo Deus.

  
"
Sapiens: A Brief History of Humankind;M. Regalado;April 6, 2017;Verified Purchase;4;"









  
  
    
  This book is a very interesting “travelling” along the story of Homo sapiens. We should be grateful to the author by trying, in a relatively short book, to give us an account of the fantastic odyssey of humanity from its very beginnings. It is vividly written, which helps to keep the interest of the reader during most of the time.None book can be neutral towards the forces and movements that have moulded the course of history. It is also difficult to resist the temptation of making backward judgements, as it is impossible to avoid that the realities are interpreted according to the particular bias of each author. This one is no exception. Under this light must be accepted some positions defended in the book, as, for example, the allegation that the transition from foragers to farmers (the Agricultural Revolution) represented a degradation in the quality of life of each particular individual, or the ensuing comment that Homo sapiens has been domesticated by wheat, rice or potatoes, rather than the inverse. This is a concession to the animistic vision of the world which, in a different context, the author well defines.The author does not resist the temptation to look into the future. He foresees that, with all the astounding scientific and technological breakthroughs, our inheritors will be godlike. Leaving aside the contradiction in terms that the idea involves, this would be the final feat of the adventurous sapiens: to annihilate God, or the gods, by engulfing them.

  
"
Sapiens: A Brief History of Humankind;William;April 21, 2020;Verified Purchase;2;"









  
  
    
  Seeing all the big names that gave this book glowing reviews had me really excited. And then I read the book. The information in this book is so general, every topic is covered with a 10,000 foot view. I came away without any new knowledge or insight into most of the topics because there is almost no depth to most of the discussions. If you are interested in a book like this you probably already know most of the information contained within it. I wouldn't bother.

  
"
Sapiens: A Brief History of Humankind;Monica Englander;December 20, 2020;Verified Purchase;2;"









  
  
    
  Quite possibly one of the most boring books I've ever read in my life. I cannot believe the hype about this book. I keep finding myself saying aloud, to the author, ""And so?  And so? And so, the point is.....??????"" He goes over a lot of history that is actually well known, along with some novel stuff. But wow, I'll be surprised if I finish it.His ideas about religion loosing/changing meaning were interesting. That's as far as I've gotten.Seriously, is he someone's favorite nephew at the publisher's? Because I never would have printed this. Maybe it gets at wonderful at the end? I sure hope so. Because it truly reads like a paper out of Sociology or Anthro 101.

  
"
Sapiens: A Brief History of Humankind;Quinton Zondervan;January 8, 2019;Verified Purchase;5;"









  
  
    
  A grand view of history, shocking at times, often funny, and never holding back, it lays bare the thoughts many of us hold silently in secret, for fear of alarming our fellow man. The author does the job for us, throwing in enough humor to make the whole thing bearable. If we are near the end of the reign of Sapiens, it is only fitting that we should at last speak every blasphemy, expose every fraud, and label every delusion, so that whatever blaze of glory signifies our ending, at least we will not have died in ignorance. Reading this book ensures that you will fulfill the meaning of our species name, home Sapiens.

  
"
Sapiens: A Brief History of Humankind;Maher;October 31, 2016;Verified Purchase;5;"









  
  
    
  This is a fascinating book. Probably the best I read in years. Harari managed to write a page turner out of a huge amount of research about Homo Sapiens. Human evolution it turns out is not only about intelligence. What made humans the dominant species is their unique ability to band together and make powerful entities that dominates their environment. Mr Harari also delves into several aspects of our lives. What are the roots of happiness? Are we happy? where is our evolutionary path leading us? To answer these questions and others he delves into several areas of science and technology. You may not agree with some of his conclusions. But he raises many questions about our history and the price paid by other species by our unchecked dominance. What is surprising is how the author turns all this research into a story that you cannot put down. But unlike fiction, this a story you relate to. Highly recommended.

  
"
Sapiens: A Brief History of Humankind;Cotton Mather;November 2, 2018;Verified Purchase;2;"









  
  
    
  I am not really going to return my book sapiens but I do want you to know that I am displeased with the book itself. It clearly has been opened so many times that right in the middle where it now opens naturally it is only days away from those pages falling out. I don't like going through the extra work of returning product and I'm sure your statistics show that lots of people to like me and so you don't need to deal with us. I don't mean this cynically, I just mean that is probably true in the natural course of things. I will read this book as it is and I have no doubt that within a few days it will start to fall apart. I paid a rather high price for it although I don't think I pay the full price. Still there was no indication in the description this book was damaged in the middle so I am very disappointed.

  
"
Sapiens: A Brief History of Humankind;Amazon Customer;January 19, 2021;Verified Purchase;1;"









  
  
    
  The book is full of the author attempting to discredit everyone else as false and then tries to give his opinions as truth. The text is full of speculation and fantasy and has no real scientific value. At most, I would think someone with his education would attempt to present facts, not try to pass his opinions as truth. Some historical facts that are true but not impressed by the book. The author has some twisted views of life, from thinking it would be thrilling to have sex with animals to some far-fetched theories, which lead me to question the character and values of the author. Nevertheless, to his credit, he did manage to get this book to be a best-seller, which leads me to question what people are thinking. As Harari said in his book the majority are usually wrong, and it is true to say about his own book.

  
"
Sapiens: A Brief History of Humankind;Gerry Matthews;January 8, 2019;Verified Purchase;4;"









  
  
    
  Sapiens is a fascinating and sobering journey through the evolution of our species. From our beginnings, as just one of many species on the planet, our cognitive awakening, agricultural, scientific, and industrial revolutions, we’ve come a long way. I’m not sure if we are any better off, happier, or healthier than our hunter gather forebears, but they certainly were tougher and more self-reliant than we are. We are also the most destructive species on the planet with little regard for other species or the environment. This book is not all doom and gloom, our species has a rich, complicated history and we have done a lot in the last 2.5 million years. I highly recommend this book!

  
"
Sapiens: A Brief History of Humankind;Hal Medrano;February 20, 2021;Verified Purchase;5;"









  
  
    
  Like others have noted, this is an opinion piece, an extended essay that presents and argues a unique thesis about our species: what we’ve accomplished and where we might be headed.But, oh what a thesis! And what a wonderful job pulling together knowledge from history, anthropology, biology, religious studies, technology, and so much more!Definitely not a book for religious or ideological extremists; the whole point is to let yourself be challenged by this wonderful, intelligent work. It’s a journey well worth taking.

  
"
Sapiens: A Brief History of Humankind;Patrick Denker;January 9, 2020;Verified Purchase;1;"









  
  
    
  Readers are annoyed about the weakness of his argument because he's playing around with philosophical concepts he doesn't come close to understanding. Worse, he doesn't even think that he SHOULD flesh out or cite his philosophical arguments; he just tosses out half-baked tidbits of Philosophy For Dummies as if they were all his own thinking. Talk about a failure to transcend your own cultural inheritance.

  
"
Sapiens: A Brief History of Humankind;FCRichelieu;December 4, 2016;Verified Purchase;5;"









  
  
    
  This is certainly one of the most interesting books that I have read in recent years.In this brief account, the author covers the full span of human history, from the time when we Sapiens coexisted with other human species under the Homo genus, including Neanderthals and others, up to the present day.  By focusing his discussion around three revolutions--cognitive, agricultural, and industrial--he is able to give a vivid account of human history since the beginning.The author is an historian, but thankfully does not write like an academic.  His writing style is lively and easy to read.  HIs book reflects thorough research. His comments are to the point, and analysis thoughtful and convincing.  Whether one agrees with his points of view or not, this book is a joy to read.

  
"
Sapiens: A Brief History of Humankind;Don;March 31, 2019;Verified Purchase;4;"









  
  
    
  This is a great book on what it means to be human. I was hoping for more of an anthropological history of man. And clearly the author has never spent time in the wild. How else can you propose our hunter gatherer ancestors were less stressed?  In the wild we are still not at the top of the food chain.  The author reminds the reader we are animals when convenient but down plays that fact when trying to explain our social structure. Animals do as animals need to do. And as we sit on the cusp of great things in science we butcher each other over religion and perceived slights. We are still animals and our social saw though fantasies we create for order, are still the product of our own basic needs and wants.The best part  of the book is it challenged my thinking regarding modern society and the current state of mankind. But I was hoping for a not thorough investigation of the history of honor sapiens. I'm that regard there was more of the author's own hypothesized suppositions than anthropological fact.Definatly worth the time to read and if your honest with your own thoughts, will challenge your views.

  
"
Sapiens: A Brief History of Humankind;Anita Pankowska;November 30, 2020;Verified Purchase;4;"









  
  
    
  I found this book while searching for my next read. I was looking for something that would give me an overview of the entirety of known human history. I must say, I was not disappointed. Writing a book like this is no simple task, however I feel that Harari handled it exceptionally.The first third of the book is amazing. Harari paints a vibrant image of hunter-gatherer life, showcasing not only the pragmatic aspects of daily living, but also the theological and societal viewpoints of these early hominids.Before starting the book, I noticed many irate commentators on here grieving the author's more opinionated segments in parts of the book. I read it anyway, as I am reading a book; I want to hear the author's opinion. Many people seem very disturbed by Harari's argument of the Agricultural Revolution being detrimental to overall human happiness. First of all, this is not the first book to have these kinds of theories. (Ishmael, anyone?) And secondly, it makes me wonder... Did these provoked commentators even read the thing?One thing Harari does wonderfully here is that he presents opposing arguments for nearly everything. He explains why the advent of farming was beneficial as well as detrimental. He'll make you think twice about the Nazis and then in the next paragraph he'll almost make you understand their viewpoint (before bashing it yet again). These controversies are indeed a part of human history, and the book would not be complete without dedicating some thought to the logic behind them.Harari covers everything from Neanderthals to railroads, to slave ships sold on the stock exchange, from capitalism, to communism, from China to Europe, from Aztecs and the Spanish to factory farming and artificial intelligence. It's really a gallimaufry of everything we've ever collectively done. Is every single thing covered? Of course not. Did he fail to mention your particular country's day of independence? Maybe. A hell of a lot of other things were mentioned however, and it was a truly enjoyable read that sparked a couple of other interests due to its myriad content and subject matter. Not to mention I learned a thing or two. Would definitely recommend to anyone looking for a basic outline of homo sapiens progress throughout time.

  
"
Sapiens: A Brief History of Humankind;Bernard Hunt;June 15, 2019;Verified Purchase;3;"









  
  
    
  I found the beginning to be a great read, but then it slowed down in the last third. The author is overtly politically correct, and therefore leaves out large area of possible history in human history. It wouldn't be so bad, except the author tells you they are not going to discuss half of the possible outcome. So I can't really take this as a scientifically book, it's an opinion of what the author wants to discuss.

  
"
Sapiens: A Brief History of Humankind;J. Michael Ball;September 19, 2017;Verified Purchase;5;"









  
  
    
  Harari gives us a new perspective that may be as important to this current cohort of Sapiens as Darwin and Marx were to our recent past. Kondratioff cycles pale by comparison. The moving finger does indeed move, but intentionality is apparently not in control. In the immortal words of Firesign Theater we are all bozos on this bus, with none but bozos to do the steering. Well, for the time being. The imposition of an evolved driver is already upon me: I had to fight keep the auto-correct from mangling my intentions. Yet it unhelpful lyrics did not spell check Kondratioff. Unhelpfully.  See what I mean. People of the world unite; the reins are slipping from our fingers.

  
"
Sapiens: A Brief History of Humankind;paulo;October 19, 2017;Verified Purchase;5;"









  
  
    
  This is easily one of the best books I've ever read. It's insightful in every degree and to say it humbles you is a gross understatement. Everyone who can read and isn't a self-righteous, egomaniac who thinks human beings are the greatest things to ever grace this planet, should read this book. And even if you are one of those solipsistic morons, you should read this book. You'll find out that we're arguably the worst thing that has ever happened to this planet and the damage we've done to the planet and other animals is unimaginable.

  
"
Sapiens: A Brief History of Humankind;Matia;December 29, 2020;Verified Purchase;1;"









  
  
    
  I’d have bought the graphic edition for my kids if you hadn’t shown a terribly partisan elephant as the first “Republican on the moon”  👎Totally disgusting👎 Instead of the American astronaut.  Unforgivable from one who touts himself as a scientist.  I threw away the copy I had naively accepted as written by a “noted” professor, unwilling to pass it along to the library.

  
"
Sapiens: A Brief History of Humankind;Fauxpas;September 10, 2020;Verified Purchase;5;"









  
  
    
  Sad to see, that is, that such a remarkable work becomes yet another battlefield in the war between the right and left. I hold a graduate degree in the earth sciences and am something of an amateur historian. When I read reviews stating that this book isn't based on research, is opinion disguised as history, and not worth reading, I am filled with despair over the state of our dis-union. What separates bare historical fact from true historical exposition is analysis and interpretation, which is precisely what Harari gives us in Sapiens. He connects the dots and does so with style and grace and insight into the human condition. This is what Gibbon did in the Decline and Fall of the Roman Empire, and Thucydides in his exposition of the Peloponnesian War. Alas, like the Greeks of third century B.C., we Americans are at war with each other and seemingly cannot agree on anything. Scholarship is especially suspect. If a work of history yields a glancing blow to one's political mindset, then it must be denounced, lest truth gain a foothold. Everything is interpreted through biased eyes and nothing is ever seen for what it actually is.Yes, sad to see.

  
"
Sapiens: A Brief History of Humankind;EKP;October 15, 2020;Verified Purchase;5;"









  
  
    
  I'm in my late middle age (77).  OK, very late middle age.  I'm a history buff and can not begin to count all of the history book I have read, so my headline should bare some weight.  This is one of those books that you don't want to put done, but you never want to finish. It's that good. This author has two other books, so my sorrow of finishing this book, will be lessened knowing I have two more to turn too.  I have no connection to Amazon, the author, or the publisher, but if I did my review would be the same.  You cheat yourself if you don't buy this book.

  
"
Sapiens: A Brief History of Humankind;Yi Woo Ae, the Krazean Poet (formerly Ame Ai);October 27, 2019;Verified Purchase;4;"









  
  
    
  After reading this book, I really got the sense that it wasn’t just the dis-united States of America that was so messed up, it was the entirety of our whole human species. And this book was published before the Trump presidency. There are a lot of unique insights, but don’t expect it to be uplifting. I’m not too surprised that it comes from the point of view of an atheist. Far-right Christians may have a hard time swallowing the content of this book. Even though I was raised Christian and conservative, I’m not far right and consider myself open to opinions different from my own. However, if you are very conservative, I would recommend following up this book with Cosmic Justice by Thomas Sowell.

  
"
Sapiens: A Brief History of Humankind;J. Moody;August 29, 2018;Verified Purchase;5;"









  
  
    
  Yarari has a talent for taking history and combining it with simple, digestible concepts, mixed with futurism and his studies on happiness, and turning it all into something that changes the way that his readers view the world. I read this book about one year ago and it has continued to stand as one of the most impactful books that I have ever read. I went on to read ""Homo Deus"" and have plans to read his new book once it becomes available. I recommend this book to friends, and my wife is currently reading it and wanting to talk about the ideas from the book. It is incredibly mind-expanding and has a way of provoking meaningful questions within a person. It's a must-read.

  
"
Sapiens: A Brief History of Humankind;Dorsey;December 28, 2018;Verified Purchase;5;"









  
  
    
  I just finished reading all 415 pages of this book & it has transformed my outlook on the world - TREMENDOUSLY!It is by far one of the most informative books on the evolution of the human race, the invention of our beliefs, rituals, customs, language, our desire to dominate, money, capitalism, slavery, government, politics, technology, science & so much more.Harari says ""If we all stopped believing in the dollar, human rights, our government & the laws that have been put in place to govern society the world as we know it would collapse because the only thing that keeps these things in order is our ""belief"" in them"". This deep when you really think about it.So if you ever wanted to take a journey through time & have a desire to understand how the world came to be, start here! It has over 5,000, 5 star reviews on Amazon for a reason!

  
"
Sapiens: A Brief History of Humankind;shane;July 23, 2020;Verified Purchase;2;"









  
  
    
  The first part gives an interesting overview of prehistoric humans. As soon as it turns to the agricultural revolution though the book becomes something other than what it promises. The author endlessly repeats the same idea that human society and cooperation, and thus supremacy, is only possible by “inter-subjective” myths. Any political, theological, legal, national, or other creation of the human mind is by definition a myth but at the same time our belief in those myths allows us to organize and build empires. This has the ring of sophistry. Just because a human mind creates something doesn’t mean it is a myth or in some sense untrue. I suggest the author take a course in metaphysics and become familiar with the last 300 years of thought regarding how we know what is true. I also got the impression the title was trading on Hawkings’ A Brief History if Time to sell more copies, but does not in any real sense resemble that book. After getting through about a third of the book it became intolerable and I gave up. Unfortunately I couldn’t return it because it had been 9 days since purchase and outside of the one week return window. I gave it two stars simply for the first few chapters which were interesting.

  
"
Sapiens: A Brief History of Humankind;George W. Bang;April 30, 2019;Verified Purchase;1;"









  
  
    
  A left wing diatribe. Not informative and propagandistic.

  
"
Sapiens: A Brief History of Humankind;I'm a Pepper;January 28, 2020;Verified Purchase;5;"









  
  
    
  Initially purchased as audiobook from audible but it was so fascinating that i quickly bought the kindle version so i could absorb more detail. Then later i bought the hard copy as it includes some illustrative diagrams and pics omitted from the kindle version.  The concepts in this book have permanently altered my big picture view of the world and the human race. It has simultaneously made me more pessimistic and more optimistic but i think overall its a net positive. Also, I rarely if ever reread a non-fiction book prior to this one but Ive listened to it twice and read it twice so far. Thats how much i enjoy this book. Everyone should read it.

  
"
Sapiens: A Brief History of Humankind;Vicky Qiu;January 25, 2019;Verified Purchase;2;"









  
  
    
  The book is well written and overall interesting, but as someone who purchased it with the hope of reading how Homo Sapiens beat out the other groups of humans, I was pretty disappointed. Only about the first third of the book was related to homo sapiens and the differences between sapiens and other species. However, the last two thirds completely focused on just sapiens and the author's view of how humans came into the modern era. He covered topics from religion, to faith in money. He spent too much time discuss how sapiens evolved into our modern selves and how our modern economies and governments work. It seemed to say a long time ago there were many types of groups that fell under the homo genus, we're not sure exactly why there's only 1 today. Let's just focus on the 1 group today and what they're doing now. It really didn't delve deep enough into the comparative differences or advantages of sapiences vs. the other species.

  
"
Sapiens: A Brief History of Humankind;John;October 8, 2018;Verified Purchase;5;"









  
  
    
  This book is an interesting and thought provoking history of mankind and how it has evolved. The Author glosses over how/why Mankind have managed to evolve differently from other animals but explains very well what those differences are. The book is at its core quite depressing, especially the last chapter when he speculates how Mankind will evolve in the future -  I don't want to be around!To me, the book raised the question that goes to the core of our existence. Are we only animal? In which case we will likely destroy ourselves by war, environmental catastrophe, plague, or all of that. Or have we a spiritual side, which will enable us to choose a different path based on care, shared resources, and sustainable living with Nature.

  
"
Sapiens: A Brief History of Humankind;tetrud;May 23, 2019;Verified Purchase;1;"









  
  
    
  The author Yuval Harari is simply wrong in so many areas, and he presents his fiction as fact. It’s frustrating to waste so much time reading such arrogance. This book was referred to me by a friend that has now lost all credibility.

  
"
Homo Deus: A Brief History of Tomorrow;Dr. Flowers;February 21, 2017;Verified Purchase;1;"









  
  
    
  I was disturbed to learn that in Harari's new book, Homo Deus, he ponders how future technologies will reshape humanity. This is a topic that Harari, a scholar of 15th century military history, is not especially qualified to discuss. If you’re into science fiction, read science fiction, not Harari.To demonstrate how off-base Home Deus is likely to be, allow me to dwell on the penultimate chapter of Sapiens, as it deals with modern biology and neuroscience, my areas of expertise, to illustrate the superficiality of Harari's arguments. His examples of this brave new world in which we now live are curated from the most sensationalist science reporting. He talks of the art-project rabbit, Alba, designed to express a green fluorescent protein. He also mentions the famous ""Vacanti mouse"" with what looks like a human ear growing on its back (in fact, this is cartilage that has been grown inside an ear-shaped mold and implanted into a mouse's back--sort of neat, but only slightly more impressive than stapling something shaped like an ear to the back of a mouse). These are two odd examples, as they aren't really reflective of current cutting edge science but are perfect examples of what might morally outrage someone who does not clearly understand what they really are. What?! An artist can just make a designer rabbit? No, an artist didn't make the rabbit. What?! Is that a human ear growing on a mouse's back? No. It isn't, it's a thing shaped like an ear that someone implanted in a mouse.Harari’s view of contemporary biology and neuroscience are more shaped by The Matrix and Jurassic Park than real academic research. Here is an example, ""A team of Russian, Japanese, and Korean scientists has recently mapped the genome of ancient mammoths, found frozen in the Siberian ice. They now plan to take a fertilized egg-cell of a present-day elephant, replace the elephantine DNA with a reconstructed mammoth DNA, and implant the egg in the womb of an elephant."" He lazily, and incorrectly, cites an article from Time magazine as his source. This, in fact, is not what the article is about, and almost everything in that quote is untrue. This team did not sequence the mammoth genome, they would not use fertilized eggs of recipients, and they would not use reconstructed mammoth DNA (as the technology does not exist to synthesize a mammoth genome from scratch). Instead, they hoped to find living mammoth cells containing an entire intact genome, then inject the nucleus of such a cell into an unfertilized elephant egg, hope it starts dividing, and implant that into an elephant womb. Here are the unknowns with respect to this task—the probability of finding mammoth cells that are thousands of years old but still have fully intact nuclei (impossible to estimate, but improbably small), the success rate of any elephant egg dividing after being injected with mammoth DNA (the rate for division after living mouse-to-mouse egg nuclear transfer is only a few percent), the probability that this nuclear-transfer derived egg would continue to divide after being implanted in an elephant womb (improbably small). In short, the captive population of elephants is too small to provide enough donor eggs and potential surrogate mothers to even consider performing this foolhardy project, yet, Harari, with his head full of ideas that he misunderstood from Time, seems to think that it’s just a matter of months before the mammoth will be resurrected. (I should note that, since the publication of Sapiens, several labs have found ways to investigate the function of individual mammoth genes inside modern elephant cells—but to say that this is recreating a mammoth is more extreme than saying that Alba, the fluorescent rabbit, is a perfect reconstruction of a jellyfish).Similiarly, Harari cites George Church's claim that he could make a Neanderthal child for $30 million. For the same reasons, the technology does not exist to synthesize a 3+ billion base genome de novo. At current DNA synthesis costs, it would require $100 million to carry out this synthesis as thousands or millions of fragments, which then couldn't be coherently assembled into something like a genome. No multicellular organism has ever been created with a synthetic genome, and human embryos would be the last place to start testing the possibility. Whether this is something that may eventually be technically possible is not important, as there are so many ethical hurdles to even begin the proof-of-principle research that it’s safe to say this isn’t going to happen unless someone first clones Josef Mengele and installs him as the head of the National Institutes of Health. I assume that Harari believes that since humans are so cruel as to practice industrial farming, it is inevitable that they will permit hundreds or thousands of failed pregnancies to relish in the glory of a Neanderthal. Again, Harari ignorantly suggests that the question is not whether this is possible but how many days until there is a new underclass of Neanderthals.Harari’s inability to discern science fiction from science fact extends into the world of neuroscience. He writes, ""Yet of all the projects currently under development, the most revolutionary is the attempt to devise a direct two-way brain computer interface that will allow computers to read the electrical signals of a human brain, simultaneously transmitting signals that the brain can read in turn."" He then supposes that in the very near future, people will be able to store their minds on external hard drives, and all human minds can be linked to form a super brain. While the quoted sentence is superficially true, it is not revolutionary. It should come as a surprise to no one that there are techniques like EEG and MRI that can crudely measure brain activity. It is also true that localized magnetic stimulation can affect one’s brain and even make someone perceive flashes of light. If you hook an MRI up to a computer which is, in turn, hooked up to a magnet on someone's head, you have made the technology that can make one person’s brain activity make another person see a flash of light. That is a stupid parlor trick and not something to fear.Now let’s consider Harari’s extension of this gimmick--- the notion that we could record someone’s mind. Current brain recording technologies amount to something like a Fitbit for your brain--an EEG or MRI can crudely determine when and how much your brain is active. Harari seems to believe that technology soon will exist permitting complete brain-state knowledge. Imagine if a device could record the state of every cell of your brain. First, you would never want such a device implanted into your own head, because it would consist of 100 billion pins stabbing into your brain and would kill you. Second, the output of this machine would be completely useless. A recording of all of the activity of every brain cell for the entirety of someone’s life would be a bunch of numbers, would represent a minuscule portion of the information processing that the brain actually does, and is impossible, anyways. To speculate about what this means about humanity is to waste one’s time.I have not yet completed Homo Deus, but I find it to be more well cited and more cautious than Sapiens. Nonetheless, I continue to find that his standard argument structure is: ""X is not technically impossible; therefore, X is inevitable."" When he rightfully notes that experts argue that genetically engineered babies or human-level AI are distant possibilities, he dismisses this as short-sightedness and argues that what scientists really mean by ""distant"" is ""a few years."" After all, he argues, when he first encountered the Internet in 1993, he didn't appreciate how great it would be in 2017. Is it just me, or is this comparison a bit arrogant? A modern-day neuroscientist's understanding of what is realistically possible in the field of artificial intelligence is the same as high-school-aged Harari's understanding of what the internet would be like in 25 years? This implies that high-school-aged Harari was a scholar of computer science and its history.He speculates that a la carte selection of the traits of your offspring is the near-certain next step from any DNA-editing-based correction of illness or disease. This seems to assume that the risk-to-reward ratio of correcting Hungtington's disease via gene editing is similar to that of eliminating freckles via gene editing. While Harari argues that it is a slippery slope leading from the former to the latter, one could argue that the latter is one-million times less practical or morally acceptable. The slope is both long and shallow to the extent that Harari's belief in the inevitability of commonplace cosmetic human genetic engineering arising from efforts to correct disease is like saying that birth control is dangerous because it will inevitably lead to widespread incest.Harari is somewhat engaging, but I can't help but find his overgeneralizations irksome.  When Harari talks about cutting-edge neuroscience, more often than not, he cites a newspaper or a website rather than a peer-reviewed publication. Then, he often paraphrases the part of the article in which a researcher wildly speculates about the future implications of her research as if it is a subject of active investigation. He glides along from topic to topic so that it becomes difficult to discern fact from wild prediction. This is a troubling trend as it makes the pursuit of knowledge about the function of genes or the organization of the brain seem like part of a nefarious, soon-to-be-realized plot to design an immortal class of cyborg elites.

  
"
Homo Deus: A Brief History of Tomorrow;Flatiron John;February 17, 2017;Verified Purchase;3;"









  
  
    
  This book is a mixed bag.  It has three parts.  The first is a review of some of the concepts explored in Harari's earlier book Sapiens.  It elaborates on the fascinating concept of  ""intersubjective reality"", whereby concepts that are shared in our collective imagination have great power to shape our objective reality; examples given include money, corporations, pop-culture brands, and religions.  Part 1 is engaging and insightful, and deserves 4/5 stars.Part 2 is a critique of what Harari calls ""humanism"".  He really dislikes humanism: he inaccurately states its tenets, and then repeatedly mocks it (for example, as promoting indulgent consumerism and sex).  He claims that humanism is what is giving rise to an emerging cybernetic dystopia, described in Part 3.Harari is abusing the word ""humanism,"" as a canvas on which to paint his caricature of modern liberal culture (""liberal"" in the classical sense, not in the sense of left-wing politics).  He is not really interested in what humanist writers and philosophers have actually said, and does not reference their works.  He claims that humanism promotes the belief in a supernatural free will (when in fact, humanists value agency and freedom, but have differing opinions on free will).  He claims that humanism believes in an indivisible self/soul (when in fact, psychologists since Freud have a different understanding).  And he claims that humanism believes that individuals always know best about their own needs (when in fact, many have emphasized the importance of education in our development--he does not even reference John Dewey).  Harari also co-opts related terms that already have other established meanings, such as ""evolutionary humanism"" and ""liberal humanism"".If you want to understand humanism or other social-political movements of the 19th and 20th centuries, Harari will lead you astray.  Part 2 deserves only 2/5 stars.Part 3 is a dire prediction for humanity's future, as genetic engineering, AI, and human-machine interface technologies advance.  Harari gives several scenarios, each of which are described very plausibly as future extrapolations of current trends.  These scenarios are thought provoking and disturbing--we as a society should be taking them more seriously.  There is an interesting discussion of an emerging religion/ideology of ""dataism"", wherein moral worth depends on the ability to enhance data flow, rather than on consciousness.  Part 3 deserves 4/5 stars.For most of the book, Harari appears to be adopting a materialistic perspective, and one which is also extremely unsentimental and discounts the significance of human morale and character.  He pretends to assume that human beings are nothing more than algorithms.However, some of his arguments (against the existence of an indivisible self, against free-will) are similar to those in Buddhism.  He also discusses how animals and people have consciousness and subjective experiences, and presumes that artificial intelligence will remain unconscious (the ""weak AI"" hypothesis of John Searle).And on the very last page, he makes us wonder if his hardcore materialistic perspective has just been a long, extended ruse:  he asks us to question a worldview that would deny the significance of consciousness.  So it seems likely that in a future book he will focus on the nature of consciousness, and argue for non-theistic Buddhism (an understated agenda in Harari's writing--perhaps he thinks that this is the way for humanity to avoid the grim fate predicted here?).The reader concerned about techno-dystopia may also be interested in ""Weapons of Math Destruction,"" by Cathy O'Neil.[Update 6/13/2017:  see the comment below, by kaiser100, for further insight into Harari's perspective on consciousness and meditation.  The comment begins with ""Harari indeed believes that developing an understanding of consciousness, a science of mind, or however else one wishes to phrase it is the best and perhaps the only way to avert the grim fate that threatens humanity in this century.""]

  
"
